Gene	Chr	Strand	Fit.start	Fit.end	polyA_ID	PeakClass	OriginalPeak	DataOrigin	exon.intron
Mast4	13	-1	103267028	103267388	Mast4:13:103267028-103267388:-1	Unique_TIP-example-Sham	Mast4:13:103267028-103267388:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102932837	102933203	Mast4:13:102932837-102933203:-1	Unique_TIP-example-Sham	Mast4:13:102932837-102933203:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103009957	103010653	Mast4:13:103009957-103010653:-1	Unique_TIP-example-Sham	Mast4:13:103009957-103010653:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102953540	102953828	Mast4:13:102953540-102953828:-1	Unique_TIP-example-Sham	Mast4:13:102953540-102953828:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102849452	102849866	Mast4:13:102849452-102849866:-1	Unique_TIP-example-Sham	Mast4:13:102849452-102849866:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102766810	102767194	Mast4:13:102766810-102767194:-1	Unique_TIP-example-Sham	Mast4:13:102766810-102767194:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103115210	103115600	Mast4:13:103115210-103115600:-1	Unique_TIP-example-Sham	Mast4:13:103115210-103115600:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103086588	103086984	Mast4:13:103086588-103086984:-1	Unique_TIP-example-Sham	Mast4:13:103086588-103086984:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103299080	103299620	Mast4:13:103299080-103299620:-1	Unique_TIP-example-Sham	Mast4:13:103299080-103299620:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103320988	103321702	Mast4:13:103320988-103321702:-1	Unique_TIP-example-Sham	Mast4:13:103320988-103321702:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102982231	102982627	Mast4:13:102982231-102982627:-1	Unique_TIP-example-Sham	Mast4:13:102982231-102982627:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103013292	103013658	Mast4:13:103013292-103013658:-1	Unique_TIP-example-Sham	Mast4:13:103013292-103013658:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102867976	102868480	Mast4:13:102867976-102868480:-1	Unique_TIP-example-Sham	Mast4:13:102867976-102868480:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102734876	102735260	Mast4:13:102734876-102735260:-1	Unique_TIP-example-Sham	Mast4:13:102734876-102735260:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103059597	103059981	Mast4:13:103059597-103059981:-1	Unique_TIP-example-Sham	Mast4:13:103059597-103059981:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102898435	102898825	Mast4:13:102898435-102898825:-1	Unique_TIP-example-Sham	Mast4:13:102898435-102898825:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102984821	102985217	Mast4:13:102984821-102985217:-1	Unique_TIP-example-Sham	Mast4:13:102984821-102985217:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103237633	103238263	Mast4:13:103237633-103238263:-1	Unique_TIP-example-Sham	Mast4:13:103237633-103238263:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102801742	102802180	Mast4:13:102801742-102802180:-1	Unique_TIP-example-Sham	Mast4:13:102801742-102802180:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	102761247	102761625	Mast4:13:102761247-102761625:-1	Unique_TIP-example-Sham	Mast4:13:102761247-102761625:-1	TIP-example-Sham	non-juncs
Mast4	13	-1	103159786	103160212	Mast4:13:103159786-103160212:-1	Unique_TIP-example-Sham	Mast4:13:103159786-103160212:-1	TIP-example-Sham	junctions
Arhgap10	8	-1	77425933	77426353	Arhgap10:8:77425933-77426353:-1	Unique_TIP-example-Sham	Arhgap10:8:77425933-77426353:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77368847	77369237	Arhgap10:8:77368847-77369237:-1	Unique_TIP-example-Sham	Arhgap10:8:77368847-77369237:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77274287	77274713	Arhgap10:8:77274287-77274713:-1	Unique_TIP-example-Sham	Arhgap10:8:77274287-77274713:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77365490	77365880	Arhgap10:8:77365490-77365880:-1	Unique_TIP-example-Sham	Arhgap10:8:77365490-77365880:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77387191	77387581	Arhgap10:8:77387191-77387581:-1	Unique_TIP-example-Sham	Arhgap10:8:77387191-77387581:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77366975	77367335	Arhgap10:8:77366975-77367335:-1	Unique_TIP-example-Sham	Arhgap10:8:77366975-77367335:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77389286	77389532	Arhgap10:8:77389286-77389532:-1	Unique_TIP-example-Sham	Arhgap10:8:77389286-77389532:-1	TIP-example-Sham	non-juncs
Arhgap10	8	-1	77514504	77514894	Arhgap10:8:77514504-77514894:-1	Unique_TIP-example-Sham	Arhgap10:8:77514504-77514894:-1	TIP-example-Sham	junctions
Rgs3	4	1	62673911	62674175	Rgs3:4:62673911-62674175:1	Unique_TIP-example-Sham	Rgs3:4:62673911-62674175:1	TIP-example-Sham	non-juncs
Rgs3	4	1	62628587	62629007	Rgs3:4:62628587-62629007:1	Unique_TIP-example-Sham	Rgs3:4:62628587-62629007:1	TIP-example-Sham	non-juncs
Kdr	5	-1	75962632	75964713	Kdr:5:75962632-75964713:-1	Unique_TIP-example-Sham	Kdr:5:75962632-75964713:-1	TIP-example-Sham	non-juncs
Pdgfra	5	1	75152292	75152574	Pdgfra:5:75152292-75152574:1	Unique_TIP-example-MI	Pdgfra:5:75152292-75152574:1	TIP-example-MI	non-juncs
Dlc1	8	-1	36902520	36902910	Dlc1:8:36902520-36902910:-1	Unique_TIP-example-MI	Dlc1:8:36902520-36902910:-1	TIP-example-MI	non-juncs
Kdr	5	-1	75961761	75964707	Kdr:5:75961761-75964707:-1	Unique_TIP-example-MI	Kdr:5:75961761-75964707:-1	TIP-example-MI	non-juncs
